"sensor1","sensor2","sensor3","sensor4","sensor5"
19.7,18.9,7,16.8,5.9
19.6,19,7,16.8,7.3
19.6,19,7,16.9,7.3
19.6,19,7,16.9,7.9
19.6,19,7,16.9,7.9
19.6,19,7,16.9,8.3
19.6,19.1,7,16.9,8.4
19.6,19.1,7.1,16.9,8.7
19.6,19.1,7.1,16.9,8.7
19.6,19.1,7.1,17,9.2
19.6,19.1,7.1,17,9.2
19.6,19.1,7.1,17,9.9
19.6,19.1,7.1,17,10.2
19.6,19.1,7.1,17,10.4
19.6,19.1,7.1,17,10.4
19.7,19.2,7.1,17.1,10.9
19.7,19.2,7.1,17.1,10.9
19.7,19.2,7.2,17.1,10.9
19.7,19.2,7.2,17.2,10.9
19.7,19.3,7.2,17.3,11.5
19.7,19.3,7.2,17.3,11.5
19.7,19.3,7.2,17.3,12
19.7,19.3,7.3,17.3,12
19.7,19.3,7.3,17.3,12.3
19.7,19.3,7.3,17.3,12.4
19.7,19.3,7.3,17.3,12.4
19.7,19.3,7.3,17.3,12.8
19.7,19.3,7.3,17.4,12.9
19.8,19.3,7.3,17.4,12.9
19.8,19.4,7.3,17.4,13.1
19.8,19.4,7.3,17.4,13.1
19.8,19.4,7.3,17.4,13.4
19.8,19.4,7.3,17.4,13.4
19.8,19.4,7.4,17.5,13.6
19.8,19.4,7.4,17.5,13.7
19.8,19.4,7.4,17.5,13.7
19.8,19.4,7.4,17.5,13.8
19.8,19.4,7.4,17.6,13.9
19.8,19.4,7.4,17.6,14.1
19.8,19.4,7.4,17.6,14.1
19.8,19.4,7.4,17.6,14.1
19.8,19.5,7.4,17.6,14.3
19.8,19.5,7.5,17.6,14.4
19.8,19.5,7.5,17.7,14.5
19.8,19.5,7.5,17.7,14.5
19.8,19.5,7.5,17.7,14.6
19.8,19.6,7.5,17.7,14.6
19.8,19.6,7.6,17.7,14.6
19.8,19.6,7.6,17.8,14.8
19.8,19.6,7.6,17.8,14.8
19.8,19.6,7.6,17.8,14.9
19.8,19.6,7.6,17.8,14.9
19.8,19.6,7.6,17.8,15
19.8,19.6,7.6,17.8,15
19.8,19.6,7.6,17.8,15.1
19.8,19.6,7.6,17.9,15.1
19.8,19.6,7.6,17.9,15.2
19.8,19.6,7.6,17.9,15.3
19.8,19.6,7.7,17.9,15.3
19.8,19.6,7.7,17.9,15.3
19.8,19.6,7.8,17.9,15.3
19.8,19.6,7.8,17.9,15.4
19.8,19.7,7.8,17.9,15.4
19.8,19.7,7.8,17.9,15.4
19.8,19.7,7.8,18,15.5
19.8,19.7,7.8,18,15.5
19.8,19.7,7.8,18,15.6
19.8,19.7,7.8,18.1,15.6
19.8,19.7,7.8,18.1,15.6
19.8,19.7,7.9,18.1,15.6
19.8,19.7,7.9,18.1,15.6
19.8,19.7,7.9,18.1,15.7
19.8,19.8,7.9,18.1,15.7
19.8,19.8,7.9,18.1,15.7
19.8,19.8,7.9,18.1,15.8
19.9,19.8,7.9,18.1,15.8
85,19.8,7.9,18.1,15.8
19.8,19.8,7.9,18.1,15.8
19.8,19.8,7.9,18.2,15.8
19.8,19.8,7.9,18.2,15.8
19.8,19.8,8,18.2,15.9
19.8,19.8,8,18.2,15.9
19.8,19.8,8,18.2,15.9
19.8,19.8,8,18.2,15.9
19.8,19.8,8,18.3,15.9
19.8,19.8,8,18.3,15.9
19.8,19.8,8,18.3,16
19.8,19.8,8.1,18.3,16
19.8,19.8,8,18.3,16
19.8,19.8,8.1,18.3,16.1
19.8,19.8,8.1,18.3,16.1
19.9,19.8,8.1,18.3,16.1
19.9,19.8,8.1,18.3,16.1
19.9,19.8,8.1,18.3,16.1
85,19.8,8.1,18.4,16.1
85,19.8,8.1,18.4,16.1
19.9,19.8,8.1,18.4,16.2
19.8,19.8,8.1,18.4,16.2
19.8,19.8,8.1,18.4,16.2
19.9,19.8,8.1,18.4,16.2
19.9,19.9,8.1,18.4,16.2
19.9,19.8,8.1,18.4,16.2
19.9,19.9,8.1,18.4,16.3
19.8,19.9,8.1,18.4,16.3
19.8,19.9,8.1,18.4,16.3
19.8,19.9,8.1,18.4,16.3
19.9,19.9,8.1,18.4,16.3
19.9,19.9,8.1,18.4,16.3
19.9,19.9,8.1,18.5,16.3
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.5,16.4
19.9,19.9,8.1,18.6,16.4
19.9,19.9,8.1,18.6,16.4
19.9,19.9,8.1,18.6,16.5
19.9,19.9,8.1,18.6,16.5
19.9,19.9,8.1,18.6,16.5
0,19.9,8.1,18.6,16.5
0,19.9,8.1,18.6,16.5
0,19.9,8.1,18.6,16.6
0,19.9,8.1,18.6,16.6
0,19.9,8.1,18.6,16.7
0,19.9,8.1,18.7,16.7
0,19.9,8.1,18.7,16.8
